,TikToker Name,YouTube Channel,Videos Published,First Video Publish Date,Total Views,Total Subscribers
44,cierra_mistt,https://www.youtube.com/channel/UCUSiprPHb__2r3tb4kjSscw,31,2019-04-02T02:43:27Z,95825,9450
45,joemyheck,https://www.youtube.com/channel/UC8G0_pNYsiqPxy6y7xZ8SVA,54,2017-07-03T22:57:48Z,1085342,2750
46,martamie,https://www.youtube.com/channel/UC9_7lEOeLBLbPcZwbiG6qYw,222,2020-04-19T19:56:51Z,737199,7240
47,daniel.labelle,https://www.youtube.com/channel/UCb8vrqP8Z7Oz9ZTYvUtjUHQ,205,2009-03-11T18:20:57Z,5581733612,11200000
48,trixshotsam,https://www.youtube.com/channel/UCjuJ-jX-a8ZoYpbewH00X2A,107,2020-03-21T23:40:15Z,1518090,3310
49,audreyvictoria_,https://www.youtube.com/channel/UCqMRqTb5jmblkT32_UiKrhQ,479,2015-05-12T20:14:13Z,338224360,997000
50,thor.aya,https://www.youtube.com/channel/UCV2cu49-22CyFyBbq2YFPGw,206,2017-01-17T07:04:38Z,136053899,1800000
51,moontellthat,https://www.youtube.com/channel/UCAqwmgeWwg8PIkO986UF4JA,135,2020-04-10T23:20:39Z,208496693,414000
52,artbydemarcusshawn,https://www.youtube.com/channel/UCOEX60THJiMgEdU3cuU1Zkw,130,2020-12-21T00:35:00Z,656935,17600
53,zachjustice,https://www.youtube.com/channel/UCFz3MrvJkk1CuCX74EJclFQ,19,2016-10-04T18:56:35Z,323864,24100
54,ehbeefamily,https://www.youtube.com/channel/UCtZAaljDNIsIAIhwYYzvEiw,920,2013-12-12T14:36:41Z,2713265140,9540000
55,jesssfamofficial,https://www.youtube.com/channel/UCpE_yAyidJKIsv8mnX1VYzA,2013,2009-09-13T23:53:17Z,539503637,1270000
56,blatantreviews,https://www.youtube.com/channel/UCPG-kUxVpjZWFAJeCwS4cQw,650,2021-04-11T20:32:22Z,468287001,558000
57,bakersmanncookies,https://www.youtube.com/channel/UCQSsnio63okwxaWouLO9q4A,36,2020-07-17T03:12:56Z,235472,16100
58,jordi.koalitic,https://www.youtube.com/channel/UC-Md_S_A6VcSJiAhStZCKbw,61,2019-10-24T13:35:12Z,184339059,1780000
59,meicrosoft,https://www.youtube.com/channel/UCYfPmmw3DuTyk3dFiM5nI8g,61,2019-02-16T00:13:01Z,7601199,229000
60,fatcapsprays,https://www.youtube.com/channel/UCCjpsj29aC4pNA2moL-hEEw,88,2019-12-01T21:18:06Z,106608155,349000
61,joshplaysdrums,https://www.youtube.com/channel/UC6GB47LqwaOPDNNmDh-QQTQ,93,2014-05-03T01:52:35Z,568823062,1090000
62,nicocaponecomedy,https://www.youtube.com/channel/UCgrdZm9Nx3rCj8WenIoSIqw,753,2016-07-25T15:51:55Z,366380143,749000
63,danirazooqi,https://www.youtube.com/channel/UC3Np7DUewV3LhtmR8BVDrCQ,769,2019-08-27T20:06:49Z,1299573141,1820000
64,mamalindy,https://www.youtube.com/channel/UCkx355-De7F2d8531yXTR8A,86,2021-05-12T02:08:35Z,1601946,21200
65,mattpeterson_,https://www.youtube.com/channel/UCQLJFXhxbl5SMfcGZSnURhQ,77,2011-02-21T17:17:58Z,332018,7140
66,jarypatel,https://www.youtube.com/channel/UCMmqBXpJgHY0YERt48pSB-w,653,2021-02-16T14:39:47Z,467138895,565000
67,theblondebrewer,https://www.youtube.com/channel/UCVOKcCKIKcQTbERDTZ1f6ZQ,67,2021-08-12T20:44:15Z,475746,6690
68,alex.stemp,https://www.youtube.com/channel/UC_MsHRmcvMap_HdcslAGcGQ,193,2020-04-10T02:21:48Z,318174425,1400000
69,pidgindoll,https://www.youtube.com/channel/UCgbM6dslSl_h_UaU3E32tgQ,24,2017-10-25T12:02:48Z,377714,13200
70,maggiethurmon,https://www.youtube.com/channel/UCHiFZSsWEEdRrTknKPuJoiw,43,2020-05-21T21:00:04Z,475336,34300
71,carloandsarah,https://www.youtube.com/channel/UCKJVF9o5PeYGEo1Y0LHJmFg,249,2021-02-11T01:54:51Z,296739226,318000
72,devonrodriguezart,https://www.youtube.com/channel/UCO-KlzrUGhZACLpcBWfQ-2g,67,2019-11-28T12:42:31Z,498560375,2450000
73,gracewellsphoto,https://www.youtube.com/channel/UCheJknmGO2Pkl_Ewm-mkr0g,25,2019-08-28T20:52:05Z,330351,9420
74,zhcyt,https://www.youtube.com/channel/UClQubH2NeMmGLTLgNdLBwXg,295,2016-12-14T04:31:48Z,2121829218,24000000
75,rosssmith,https://www.youtube.com/channel/UCqYlcD2MurA9YWe7D911w7A,212,2015-01-22T09:59:15Z,774581108,2540000
76,naomicartoons,https://www.youtube.com/channel/UCHgTD6ItaK3N9bKU5BNejDQ,0,0,0,1360
77,thispronto,https://www.youtube.com/channel/UCkam-JqQZ3taRT96ATmyavw,73,2020-08-14T09:00:13Z,3296882,123000
78,dutchintheusa,https://www.youtube.com/channel/UCXk2Oyd1Bw6-mNSeiyqYT_Q,39,2020-08-09T16:12:56Z,39203,4250
79,adamw,https://www.youtube.com/channel/UC_k6e2PPDUnxEdMJC9Q044g,360,2017-06-15T03:19:47Z,3681525477,5870000
80,itsqcp,https://www.youtube.com/channel/UCPUBGZvy2t1V5MthV7pjBAA,209,2020-01-16T17:51:30Z,295783250,977000
81,jakeceja,https://www.youtube.com/channel/UC06hDL3xAoW5PAWFbRsA3XQ,226,2016-12-21T04:31:33Z,288066400,736000
82,rightchoiceshearing,https://www.youtube.com/channel/UC2YvLBsduOMcStpJbZav-mw,138,2021-06-11T15:29:22Z,585430385,1000000
83,brotherofcolor,https://www.youtube.com/channel/UCehiWoL5IOQXvt2hNqlXEzQ,52,2020-09-30T00:40:05Z,1156415,50900
84,itsdanielmac,https://www.youtube.com/channel/UCYRg9w3AfuRCKfh4JcDp8xw,427,2020-10-15T04:49:38Z,895647401,1470000
85,trickshotdav,https://www.youtube.com/channel/UC52eqDe6TTYp77sCp2Hnj6Q,146,2021-03-17T11:59:15Z,654790311,1050000
