videoID,day,views
ZkBrNt8ltdc,2022-03-09,1
ZkBrNt8ltdc,2022-03-10,2
ZkBrNt8ltdc,2022-03-11,1
ZkBrNt8ltdc,2022-03-12,1
ZkBrNt8ltdc,2022-03-13,2
ZkBrNt8ltdc,2022-03-14,1
