videoID,day,views
N7Whg14eua4,2022-03-03,171
N7Whg14eua4,2022-03-04,159
N7Whg14eua4,2022-03-05,192
N7Whg14eua4,2022-03-06,224
N7Whg14eua4,2022-03-07,179
N7Whg14eua4,2022-03-08,157
N7Whg14eua4,2022-03-09,232
N7Whg14eua4,2022-03-10,220
N7Whg14eua4,2022-03-11,203
N7Whg14eua4,2022-03-12,253
N7Whg14eua4,2022-03-13,261
N7Whg14eua4,2022-03-14,227
